Product Name,Link,Price,Supported Apps,OS,Refresh Rate,Speaker,Rating
Adsun 98.9 cm (39 inch) HD Ready LED Smart TV,https://www.flipkart.com/adsun-98-9-cm-39-inch-hd-ready-led-smart-tv/p/itmfggqb2rctfd2c?pid=TVSFGGQBQURYHJCU&lid=LSTTVSFGGQBQURYHJCUPKKCNI&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_1&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=en_t%2Fcy4yb7XyZf0qk02eIRI58GQLbE0qmqpJNloUM2mdU1kFNnsln705ooYd9I0qKEiKDWRDuwG4yr9c%2FBT80MSw%3D%3D&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹13,999",Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,60 Hz Refresh Rate,20 W Speaker Output,3.8
realme 80 cm (32 inch) HD Ready LED Smart Android TV,https://www.flipkart.com/realme-80-cm-32-inch-hd-ready-led-smart-android-tv/p/itm56d1cf16da75b?pid=TVSFRTJQTZVKTF6Y&lid=LSTTVSFRTJQTZVKTF6YTYQNP6&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&spotlightTagId=BestsellerId_ckf%2Fczl&srno=s_1_2&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSFRTJQTZVKTF6Y.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹16,999",Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,60 Hz Refresh Rate,24 W Speaker Output,4.3
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,https://www.flipkart.com/samsung-80-cm-32-inch-hd-ready-led-smart-tv/p/itm6e40262f4572a?pid=TVSFQXFKMHUDYCJ3&lid=LSTTVSFQXFKMHUDYCJ3IOJXHJ&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_3&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSFQXFKMHUDYCJ3.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹17,499",Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,60 Hz Refresh Rate,20 W Speaker Output,4.4
OnePlus Y Series 80 cm (32 inch) HD Ready LED Smart Android TV,https://www.flipkart.com/oneplus-y-series-80-cm-32-inch-hd-ready-led-smart-android-tv/p/itme650a6bb8cee3?pid=TVSFVWD2ENXYGEJY&lid=LSTTVSFVWD2ENXYGEJY9U6ROG&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_4&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSFVWD2ENXYGEJY.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹15,999",Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,60 Hz Refresh Rate,20 W Speaker Output,4.3
LG 80 cm (32 inch) HD Ready LED Smart TV,https://www.flipkart.com/lg-80-cm-32-inch-hd-ready-led-smart-tv/p/itm6207e6d122567?pid=TVSFTW4CSRW8PGDQ&lid=LSTTVSFTW4CSRW8PGDQSZQIO6&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_5&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSFTW4CSRW8PGDQ.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹17,999",Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,50 Hz Refresh Rate,10 W Speaker Output,4.4
OnePlus Y Series 108 cm (43 inch) Full HD LED Smart Android TV,https://www.flipkart.com/oneplus-y-series-108-cm-43-inch-full-hd-led-smart-android-tv/p/itme3bf85dc7fef6?pid=TVSFVWD2GRQEG462&lid=LSTTVSFVWD2GRQEG462VSJDDU&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_6&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSFVWD2GRQEG462.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹25,999",Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,60 Hz Refresh Rate,20 W Speaker Output,4.3
Vu Premium 108 cm (43 inch) Full HD LED Smart Android TV,https://www.flipkart.com/vu-premium-108-cm-43-inch-full-hd-led-smart-android-tv/p/itm7be3d20153b68?pid=TVSGA7SNPGAWJHGG&lid=LSTTVSGA7SNPGAWJHGGYCJIDL&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_7&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSGA7SNPGAWJHGG.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹22,999",Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,60 Hz Refresh Rate,30W Speaker Output,4.2
OnePlus Y Series 100 cm (40 inch) Full HD LED Smart Android TV,https://www.flipkart.com/oneplus-y-series-100-cm-40-inch-full-hd-led-smart-android-tv/p/itmdcbd9784403b2?pid=TVSG25MMGB8NKFD8&lid=LSTTVSG25MMGB8NKFD8MWAMJF&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_8&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSG25MMGB8NKFD8.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹22,999",Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,60 Hz Refresh Rate,20 W Speaker Output,4.3
Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV,https://www.flipkart.com/mi-4a-pro-80-cm-32-inch-hd-ready-led-smart-android-tv/p/itmfdwh5jyqhmvzg?pid=TVSG22C4DXQRVSTT&lid=LSTTVSG22C4DXQRVSTTJZD2M0&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_9&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSG22C4DXQRVSTT.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹16,999",Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,60 Hz Refresh Rate,20 W Speaker Output,4.4
Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,https://www.flipkart.com/mi-5x-108-cm-43-inch-ultra-hd-4k-led-smart-android-tv-dolby-atmos-vision/p/itm2608f13684202?pid=TVSG5ZGZGZGDJBC3&lid=LSTTVSG5ZGZGZGDJBC3XCNNJG&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_10&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSG5ZGZGZGDJBC3.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹31,999",Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,60 Hz Refresh Rate,30 W Speaker Output,4.3
Coocaa 80 cm (32 inch) HD Ready LED Smart TV,https://www.flipkart.com/coocaa-80-cm-32-inch-hd-ready-led-smart-tv/p/itm1d67beddce98f?pid=TVSG4VHWKAP6KYP4&lid=LSTTVSG4VHWKAP6KYP4VFHHOJ&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_11&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSG4VHWKAP6KYP4.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹11,499",Youtube,Operating System: Coolita,60 Hz Refresh Rate,20 W Speaker Output,4.2
realme NEO 80 cm (32 inch) HD Ready LED Smart TV,https://www.flipkart.com/realme-neo-80-cm-32-inch-hd-ready-led-smart-tv/p/itm3493defce7f54?pid=TVSG6EFEFQTYNBMC&lid=LSTTVSG6EFEFQTYNBMCTRC86C&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_12&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSG6EFEFQTYNBMC.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹14,999",Youtube,Operating System: Linux,60 Hz Refresh Rate,20 W Speaker Output,4.2
Vu Premium TV 80 cm (32 inch) HD Ready LED Smart TV with Bezel-Less Frame,https://www.flipkart.com/vu-premium-tv-80-cm-32-inch-hd-ready-led-smart-bezel-less-frame/p/itma63d01cb6d003?pid=TVSGAGUCB5H9GQGH&lid=LSTTVSGAGUCB5H9GQGHHF7PAQ&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_13&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSGAGUCB5H9GQGH.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹13,999",Netflix|Prime Video|Youtube,Operating System: Linux,60 Hz Refresh Rate,20 W Speaker Output,4.3
Vu Premium 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,https://www.flipkart.com/vu-premium-139-cm-55-inch-ultra-hd-4k-led-smart-android-tv/p/itm15edd0f5f73f4?pid=TVSFPENZUMTBQAHG&lid=LSTTVSFPENZUMTBQAHGKKIHQX&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_14&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSFPENZUMTBQAHG.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹39,999",Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,60 Hz Refresh Rate,30 W Speaker Output,4.4
Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,https://www.flipkart.com/mi-4a-horizon-80-cm-32-inch-hd-ready-led-smart-android-tv/p/itm9dcfc24f18feb?pid=TVSG22C46SKHXTH8&lid=LSTTVSG22C46SKHXTH8LDWFQD&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_15&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSG22C46SKHXTH8.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹16,999",Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,60 Hz Refresh Rate,20 W Speaker Output,4.3
acer Boundless series 80 cm (32 inch) HD Ready LED Smart Android TV with FRAMELESS DESIGN,https://www.flipkart.com/acer-boundless-series-80-cm-32-inch-hd-ready-led-smart-android-tv-frameless-design/p/itm2f2ac10f78ae0?pid=TVSG4Q3F95HSVVRD&lid=LSTTVSG4Q3F95HSVVRDF76KOO&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_16&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSG4Q3F95HSVVRD.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹13,999",Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,60 Hz Refresh Rate,24 W Speaker Output,4.4
Mi 4A Horizon Edition 108 cm (43 inch) Full HD LED Smart Android TV,https://www.flipkart.com/mi-4a-horizon-108-cm-43-inch-full-hd-led-smart-android-tv/p/itm97add0b49cdbc?pid=TVSG4Q2UFDG3SSFD&lid=LSTTVSG4Q2UFDG3SSFDRS86RH&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&spotlightTagId=TrendingId_ckf%2Fczl&srno=s_1_17&otracker=AS_Query_TrendingAutoSuggest_8_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_8_0_na_na_na&fm=organic&iid=aa64d505-a1e3-4751-b375-06da954d72f7.TVSG4Q2UFDG3SSFD.SEARCH&ppt=None&ppn=None&ssid=t427p6ljnk0000001646238973538&qH=c9a1fdac6e082dd8,"₹26,999",Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,60 Hz Refresh Rate,20 W Speaker Output,4.3
